frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
164,16.759,39.85,25.99,0,0.0,0.0,0.0
165,16.858,38.82,25.99,0,0.0,0.0,0.0
166,16.958,38.74,25.98,0,0.0,0.0,0.0
167,17.057,38.71,25.98,0,0.0,0.0,0.0
168,17.158,38.84,25.96,0,0.0,0.0,0.0
169,17.258,39.4,25.93,0,0.0,0.0,0.0
170,17.358,38.84,25.9,0,0.0,0.0,0.0
171,17.458,38.98,25.88,0,0.0,0.0,0.0
172,17.558,38.73,25.88,0,0.0,0.0,0.0
173,17.657,38.35,25.86,0,0.0,0.0,0.0
174,17.758,38.69,25.84,0,0.0,0.0,0.0
175,17.859,39.25,25.82,0,0.0,0.0,0.0
176,17.959,38.92,25.83,0,0.0,0.0,0.0
177,18.059,39.57,25.74,0,0.0,0.0,0.0
178,18.154,35.35,25.81,0,0.0,0.0,0.0
179,18.257,38.05,25.83,0,0.0,0.0,0.0
180,18.358,38.43,25.84,0,0.0,0.0,0.0
181,18.458,38.34,25.86,0,0.0,0.0,0.0
182,18.559,39.09,25.87,0,0.0,0.0,0.0
183,18.659,39.23,25.85,0,0.0,0.0,0.0
184,18.76,39.17,25.84,0,0.0,0.0,0.0
185,18.859,39.06,25.82,0,0.0,0.0,0.0
186,18.96,39.97,25.78,1,0.8266,0.568,2670.0
187,19.06,39.78,25.76,0,0.0,0.0,0.0
188,19.162,40.39,25.72,1,0.8047,0.562,816.0
189,19.259,39.44,25.68,1,0.7065,0.56,13452.0
190,19.36,39.44,25.66,1,0.7546,0.564,20622.0
191,19.46,40.05,25.62,1,0.7477,0.567,25269.0
192,19.56,39.15,25.65,1,0.7192,0.579,23253.0
193,19.66,39.47,25.64,1,0.7662,0.599,21879.0
194,19.76,39.24,25.65,1,0.8156,0.614,21197.0
195,19.861,40.2,25.62,1,0.7963,0.625,18233.0
196,19.961,39.62,25.6,1,0.7984,0.632,18196.0
197,20.06,39.01,25.6,1,0.7479,0.616,19347.0
198,20.16,38.75,25.6,1,0.7396,0.609,20045.0
199,20.26,39.29,25.6,1,0.7341,0.605,20830.0
200,20.36,38.15,25.62,1,0.7478,0.594,21606.0
201,20.461,39.43,25.61,1,0.7191,0.596,22355.0
202,20.56,39.06,25.6,1,0.6665,0.585,22905.0
203,20.66,38.46,25.6,1,0.6767,0.589,22327.0
204,20.761,39.36,25.58,1,0.6847,0.584,22688.0
205,20.86,38.0,25.61,1,0.6657,0.581,23645.0
206,20.96,38.11,25.63,1,0.6902,0.58,23490.0
207,21.062,40.31,25.61,1,0.8156,0.571,17254.0
208,21.161,39.13,25.53,1,0.6577,0.563,16417.0
209,21.261,39.51,25.5,1,0.7053,0.554,19604.0
210,21.361,39.31,25.48,1,0.7024,0.556,16349.0
211,21.462,39.54,25.45,0,0.0,0.0,0.0
212,21.56,38.48,25.46,0,0.0,0.0,0.0
213,21.66,38.37,25.48,0,0.0,0.0,0.0
214,21.762,39.44,25.48,0,0.0,0.0,0.0
215,21.863,40.03,25.46,0,0.0,0.0,0.0
216,21.962,39.68,25.46,0,0.0,0.0,0.0
217,22.061,38.92,25.48,0,0.0,0.0,0.0
218,22.157,35.68,25.58,0,0.0,0.0,0.0
219,22.261,38.16,25.61,0,0.0,0.0,0.0
220,22.361,38.28,25.64,0,0.0,0.0,0.0
221,22.461,38.84,25.66,0,0.0,0.0,0.0
222,22.56,37.46,25.7,0,0.0,0.0,0.0
223,22.661,37.96,25.73,0,0.0,0.0,0.0
224,22.762,38.6,25.75,0,0.0,0.0,0.0
225,22.862,39.09,25.77,0,0.0,0.0,0.0
226,22.962,39.26,25.78,0,0.0,0.0,0.0
227,23.062,38.99,25.78,0,0.0,0.0,0.0
228,23.162,38.28,25.79,0,0.0,0.0,0.0
229,23.261,38.37,25.81,0,0.0,0.0,0.0
230,23.362,38.81,25.8,0,0.0,0.0,0.0
231,23.463,38.42,25.82,0,0.0,0.0,0.0
232,23.563,38.87,25.82,0,0.0,0.0,0.0
233,23.662,38.16,25.83,0,0.0,0.0,0.0
234,23.762,38.6,25.85,0,0.0,0.0,0.0
235,23.863,38.76,25.83,0,0.0,0.0,0.0
236,23.963,39.04,25.81,0,0.0,0.0,0.0
237,24.064,40.65,25.8,1,0.7631,0.659,6835.0
238,24.163,39.29,25.8,1,0.7181,0.699,12487.0
239,24.264,39.57,25.8,1,0.7013,0.735,11359.0
240,24.363,38.76,25.81,1,0.7156,0.757,10503.0
241,24.463,38.87,25.82,1,0.7336,0.767,10446.0
242,24.562,38.58,25.82,1,0.7322,0.776,10687.0
243,24.663,38.84,25.81,1,0.7556,0.78,10578.0
244,24.762,37.96,25.85,1,0.7259,0.786,10675.0
245,24.864,39.15,25.86,1,0.7269,0.794,10564.0
246,24.964,39.48,25.87,1,0.6974,0.795,10316.0
247,25.065,40.52,25.83,1,0.6735,0.794,10078.0
248,25.162,37.97,25.78,1,0.6579,0.793,9619.0
249,25.263,38.71,25.77,1,0.681,0.768,10608.0
250,25.364,39.03,25.75,1,0.7071,0.762,11007.0
